code,ai_can_execute,ai_commands,ai_packages_needed,ai_logs_output,risk,remark
Wistron-BIOS-00150-V007,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Version\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00151-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Starting Address Segment\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Starting Address Segment` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00152-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Release date = \""mm/dd/yyyy\""\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Release date = ""mm/dd/yyyy""` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00153-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS ROM Size\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS ROM Size` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00154-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Characteristics\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Characteristics` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00155-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""BIOS Characteristics Extension Bytes\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `BIOS Characteristics Extension Bytes` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00156-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""System BIOS Major Release\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `System BIOS Major Release` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00157-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""System BIOS Minor Release\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `System BIOS Minor Release` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00158-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""Embedded Controller Firmware Major Release\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `Embedded Controller Firmware Major Release` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00159-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""Embedded Controller Firmware Minor Release\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `Embedded Controller Firmware Minor Release` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00160-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 0 2>/dev/null | grep -iA1 \""Extended Bios Size\""""",dmidecode,"return FULL raw `dmidecode -t 0` output filtered to the `Extended Bios Size` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00161-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Manufacturer\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Manufacturer` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00162-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Product Name\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Product Name` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00163-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Version\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00164-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Serial Number\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Serial Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00165-V006,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""UUID\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `UUID` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00166-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Wake-up Type\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Wake-up Type` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00167-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""SKU Number\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `SKU Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00168-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 1 2>/dev/null | grep -iA1 \""Family\""""",dmidecode,"return FULL raw `dmidecode -t 1` output filtered to the `Family` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00169-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Manufacturer\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Manufacturer` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00170-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Product Name\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Product Name` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00171-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Version\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00172-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Serial Number\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Serial Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00173-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Asset Tage\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Asset Tage` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00174-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Base Board Feature Flags\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Base Board Feature Flags` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00175-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Location In Chassis\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Location In Chassis` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00176-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Chassis Handle\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Chassis Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00177-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Base Board Board Type\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Base Board Board Type` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00178-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 2 2>/dev/null | grep -iA1 \""Contained Object Handles\""""",dmidecode,"return FULL raw `dmidecode -t 2` output filtered to the `Contained Object Handles` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00179-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Manufacturer\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Manufacturer` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00180-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""System Enclosure or Chassis Types\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `System Enclosure or Chassis Types` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00181-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Version\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00182-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Serial Number\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Serial Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00183-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Asset Tage\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Asset Tage` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00184-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Bootup state System Enclosure or Chassis Status\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Bootup state System Enclosure or Chassis Status` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00185-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Power Supply State System Enclosure or Chassis Status\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Power Supply State System Enclosure or Chassis Status` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00186-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Thermal state System Enclosure or Chassis Status\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Thermal state System Enclosure or Chassis Status` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00187-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Security Status System Enclosure or Chassis Security Status\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Security Status System Enclosure or Chassis Security Status` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00188-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Oem Defined\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Oem Defined` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00189-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Height\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Height` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00190-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Number Of Power Cords\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Number Of Power Cords` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00191-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""Contained Elements\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `Contained Elements` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00192-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 3 2>/dev/null | grep -iA1 \""SKU Number\""""",dmidecode,"return FULL raw `dmidecode -t 3` output filtered to the `SKU Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00193-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Socket Designation\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Socket Designation` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00194-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Type\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Type` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00195-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Family\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Family` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00196-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Manufacturer\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Manufacturer` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00197-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor ID\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor ID` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00198-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Version\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Version` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00199-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Voltage\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Voltage` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00200-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""External Clock\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `External Clock` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00201-V005,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Max Speed\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Max Speed` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00202-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Current Speed\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Current Speed` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00203-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Status\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Status` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00204-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Processor Upgrade\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Processor Upgrade` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00205-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""L1 Cache Handle\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `L1 Cache Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00206-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""L2 Cache Handle\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `L2 Cache Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00207-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""L3 Cache Handle\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `L3 Cache Handle` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00208-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Serial Number\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Serial Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00209-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Asset Tag\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Asset Tag` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00210-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Part Number\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Part Number` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
Wistron-BIOS-00211-V004,YES,"sshpass -p ""$DUT_PASS"" ssh -o StrictHostKeyChecking=no $DUT_USER@$DUT_IP ""dmidecode -t 4 2>/dev/null | grep -iA1 \""Core Count\""""",dmidecode,"return FULL raw `dmidecode -t 4` output filtered to the `Core Count` value for that section (raw text, verbatim) so the user can diff against expected; judge correctness/persistence after reboot.",,
